"","sp","edge","hmin","hmax"
"1",16,16,0.0236474937434316,0.0236474937434316
"2",21,21,0.13413511274174,0.13413511274174
"3",21,21,0.157235581570546,0.157235581570546
"4",34,34,0.197993394535344,0.197993394535344
"5",35,35,0.252021464342343,0.252021464342343
"6",66,66,0.190520864414283,0.190520864414283
"7",82,82,0.172850182429373,0.172850182429373
"8",90,90,0.804902815801147,0.804902815801147
"9",91,91,0.695279147432375,0.695279147432375
"10",91,91,0.475941494667252,0.475941494667252
"11",92,92,0.360211410881315,0.360211410881315
"12",102,102,0.0312502188344501,0.0312502188344501
"13",104,104,0.384366428028762,0.384366428028762
